image,road_width_relative,sidewalk_ratio,parked_density
AMI몬테소리손바닥어린이집_북쪽.png,0.40075874,0.0,1
AP어린이집_북쪽.png,0.42819732,0.0,2
EPS어린이집_북쪽.png,0.0,0.0,0
GC차일드케어어린이집_북쪽.png,0.40293983,0.04216498149114,0
LIG넥스원_어린이집_북쪽.png,0.34592795,0.0,0
가곡초등학교(병설)_북쪽.png,0.33788848,0.0,0
가남초등학교_북쪽.png,0.0,0.0,0
가납초등학교_북쪽.png,0.25695562,0.24401412669074002,0
가능초등학교_북쪽.png,0.37977225,0.23163811716976002,0
가람어린이집(해담은어린이집)_북쪽.png,0.3905672,0.22547700029256001,1
가람유치원_북쪽.png,0.15103883,0.0,0
가람초등학교_북쪽.png,0.4480958,0.0,1
가림유치원_북쪽.png,0.0,0.2153932860971224,2
가사초등학교_북쪽.png,0.34135246,0.05886306397240879,0
가산어린이집_북쪽.png,0.34567565,0.0,1
가산초교_북쪽.png,0.30623096,0.0,0
가수초등학교_북쪽.png,0.36011046,0.216568764717786,0
가양초등학교_북쪽.png,0.30524355,0.0,0
가연키즈어린이집_북쪽.png,0.18817917,0.0,0
가온유치원-1구간_북쪽.png,0.46247846,0.22202141501534958,0
가온초교(병설)_북쪽.png,0.36824277,0.223477256153382,0
가온초교-1구간_북쪽.png,0.3930965,0.291354208302856,0
가좌초등학교_북쪽.png,0.0,0.0,0
가평마장초등학교_북쪽.png,0.0,0.0,0
가평어린이집_북쪽.png,0.0,0.0,2
가평초등학교_북쪽.png,0.36791062,0.0,0
가현도담유치원_북쪽.png,0.420233,0.0,0
가현초_북쪽.png,0.46520314,0.22426697614860003,0
가현초병설유치원_북쪽.png,0.46520314,0.22426697614860003,0
각골_초등학교_병설유치원_북쪽.png,0.3828664,0.0,0
각골_초등학교_북쪽.png,0.3828664,0.0,0
갈곶초등학교_북쪽.png,0.23150384,0.0,0
갈담초등학교_북쪽.png,0.27452242,0.2357315935632,0
갈매유치원_북쪽.png,0.4016831,0.314928642425158,0
갈매초등학교(병설)_북쪽.png,0.48146808,0.36856510782573365,0
갈보리어린이집_북쪽.png,0.36064744,0.0,0
갈현초교(병설)_북쪽.png,0.42498875,0.0,0
감일유치원_북쪽.png,0.3657858,0.21384349712261003,0
감일초등학교_북쪽.png,0.44079462,0.0,0
강남유치원_북쪽.png,0.47071117,0.0,2
강담어린이집_북쪽.png,0.20994428,0.0,0
강산유치원_북쪽.png,0.38741374,0.0,0
강선초등학교_북쪽.png,0.0,0.0,0
강원특별자치도_강릉시_교동(상덕초교_부근)_01.png,0.43670857,0.26429314493198003,0
강원특별자치도_강릉시_교동(월드컵사거리_부근)_01.png,0.43670857,0.26429314493198003,0
